Author,Name,ID,Model Card,Provider Terms,Input Modalities,Output Modalities,EOL Date,Data Retention Period (Days),Data Used To Train Models?,Inference Regions,Release Status,Stack Version
Google,Gemini 2.5 Flash Lite,google-gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,[Google terms](https://cloud.google.com/terms),"Text, Image, File",Text,2026-10-16,0,No,US,Legacy (EOL Soon),9.4
Google,Gemini 2.5 Pro,google-gemini-2.5-pro,[Google Gemini 2.5 Pro](https://modelcards.withgoogle.com/assets/documents/gemini-2.5-pro.pdf),[Google terms](https://cloud.google.com/terms),"Text, Image, File",Text,2026-10-16,0,No,US,Legacy (EOL Soon),9.3
Google,Gemini 3.0 Flash,google-gemini-3.0-flash,Gemini 3 Flash,[Google terms](https://cloud.google.com/terms),"Text, Image, File",Text,,0,No,US,Generally Available,9.4
Google,Gemini 3.1 Flash Lite,google-gemini-3.1-flash-lite,Gemini 3.1 Flash Lite,[Google terms](https://cloud.google.com/terms),"Text, Image, File",Text,,0,No,US,Generally Available,9.4
Google,Gemini 3.1 Pro,google-gemini-3.1-pro,Gemini 3.1 Pro,[Google terms](https://cloud.google.com/terms),"Text, Image, File",Text,,0,No,US,Generally Available,9.4
Google,Gemini 3.5 Flash,google-gemini-3.5-flash,Gemini 3.5 Flash,[Google terms](https://cloud.google.com/terms),"Text, Image, File",Text,,0,No,US,Generally Available,9.4
Google,Gemini 3.5 Flash Lite,google-gemini-3.5-flash-lite,Gemini 3.5 Flash Lite,[Google terms](https://cloud.google.com/terms),"Text, Image, Video, Audio, File",Text,,0,No,US,Generally Available,9.5
Google,Gemini 3.6 Flash,google-gemini-3.6-flash,Gemini 3.6 Flash,[Google terms](https://cloud.google.com/terms),"Text, Image, Video, Audio, File",Text,,0,No,US,Generally Available,9.5
z.ai,GLM 5.2,zai-glm-5-2,z.ai GLM-5.2,,Text,Text,,0,No,US,Generally Available,9.5
OpenAI,GPT 5.6 Luna,openai-gpt-5.6-luna,OpenAI GPT 5.6,[Microsoft Terms](https://azure.microsoft.com/en-gb/support/legal/),"Text, Image, File",Text,,0,No,US,Generally Available,9.5
OpenAI,GPT 5.6 Sol,openai-gpt-5.6-sol,OpenAI GPT 5.6,[Microsoft Terms](https://azure.microsoft.com/en-gb/support/legal/),"Text, Image, File",Text,,0,No,US,Generally Available,9.5
OpenAI,GPT 5.6 Terra,openai-gpt-5.6-terra,OpenAI GPT 5.6,[Microsoft Terms](https://azure.microsoft.com/en-gb/support/legal/),"Text, Image, File",Text,,0,No,US,Generally Available,9.5
OpenAI,GPT-5.2,openai-gpt-5.2,[OpenAI GPT 5.2](https://platform.openai.com/docs/models/gpt-5.2),[Microsoft Terms](https://azure.microsoft.com/en-gb/support/legal/),"Text, Image, File",Text,2027-05-12,0,No,US,Generally Available,9.3
OpenAI,GPT-5.4,openai-gpt-5.4,OpenAI GPT 5.4,[Microsoft Terms](https://azure.microsoft.com/en-gb/support/legal/),"Text, Image, File",Text,,0,No,US,Generally Available,9.4
OpenAI,GPT-5.4 Mini,openai-gpt-5.4-mini,OpenAI GPT 5.4 Mini,[Microsoft Terms](https://azure.microsoft.com/en-gb/support/legal/),"Text, Image, File",Text,,0,No,US,Generally Available,9.4
OpenAI,GPT-5.4 Nano,openai-gpt-5.4-nano,OpenAI GPT 5.4 Nano,[Microsoft Terms](https://azure.microsoft.com/en-gb/support/legal/),"Text, Image, File",Text,,0,No,US,Generally Available,9.4
OpenAI,GPT-5.5,openai-gpt-5.5,OpenAI GPT 5.5,[Microsoft Terms](https://azure.microsoft.com/en-gb/support/legal/),"Text, Image, File",Text,,0,No,US,Generally Available,9.5
OpenAI,GPT-OSS 120B,openai-gpt-oss-120b,[OpenAI GPT-OSS-120B](http://gpt-oss-120b/),[Google Terms](https://cloud.google.com/terms)<br>[Together AI Terms](https://www.together.ai/terms-of-service)<br>[DeepInfra Terms](https://deepinfra.com/terms)<br>[AWS Terms](https://aws.amazon.com/service-terms/),Text,Text,,0,No,US,Generally Available,9.3
OpenAI,GPT-OSS 20B,openai-gpt-oss-20b,OpenAI GPT-OSS-20B,[Google Terms](https://cloud.google.com/terms)<br>[Together AI Terms](https://www.together.ai/terms-of-service)<br>[DeepInfra Terms](https://deepinfra.com/terms)<br>[AWS Terms](https://aws.amazon.com/service-terms/),Text,Text,,0,No,US,Generally Available,9.4
