Name,Technique,Rule Type,Severity,Source,Guide
AWS IAM Customer-Managed Policy Attached to Role by Rare User,"T1548, T1548.005",New Terms,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/privilege_escalation_iam_customer_managed_policy_attached_to_role.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-iam-customer-managed-policy-attached-to-role.md)
AWS IAM OIDC Provider Created by Rare User,"T1078, T1078.004, T1484, T1484.002",New Terms,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/persistence_iam_oidc_provider_created.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/persistence-iam-oidc-provider-created.md)
AWS IAM SAML Provider Created,"T1078, T1078.004, T1484, T1484.002",Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/persistence_iam_saml_provider_created.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/persistence-iam-saml-provider-created.md)
AWS IAM SAML Provider Updated,"T1484, T1484.002",Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/privilege_escalation_iam_saml_provider_updated.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-iam-saml-provider-updated.md)
AWS IAM User Created Access Keys For Another User,"T1098, T1098.001",ES|QL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/persistence_iam_user_created_access_keys_for_another_user.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/persistence-iam-user-created-access-keys-for-another-user.md)
AWS Management Console Root Login,"T1078, T1078.004",Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/initial_access_console_login_root.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/initial-access-console-login-root.md)
AWS RDS DB Instance or Cluster Password Modified,"T1098, T1098.001",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/persistence_rds_db_instance_password_modified.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/persistence-rds-db-instance-password-modified.md)
AWS Sensitive IAM Operations Performed via CloudShell,"T1098, T1098.003, T1136, T1136.003",Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/persistence_sensitive_operations_via_cloudshell.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/persistence-sensitive-operations-via-cloudshell.md)
AWS STS AssumeRole with New MFA Device,"T1548, T1550, T1550.001, T1556, T1556.006",New Terms,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/persistence_sts_assume_role_with_new_mfa.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/persistence-sts-assume-role-with-new-mfa.md)
AWS STS AssumeRoot by Rare User and Member Account,"T1098, T1098.003, T1548, T1548.005",New Terms,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/privilege_escalation_sts_assume_root_from_rare_user_and_member_account.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-sts-assume-root-from-rare-user-and-member-account.md)
AWS STS GetSessionToken Usage,"T1548, T1550, T1550.001",Custom Query,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/privilege_escalation_sts_getsessiontoken_abuse.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-sts-getsessiontoken-abuse.md)
AWS STS Role Assumption by Service,"T1548, T1550, T1550.001",New Terms,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/privilege_escalation_role_assumption_by_service.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-role-assumption-by-service.md)
AWS STS Role Assumption by User,"T1548, T1550, T1550.001",New Terms,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/privilege_escalation_role_assumption_by_user.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-role-assumption-by-user.md)
AWS STS Role Chaining,"T1548, T1550, T1550.001",New Terms,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/privilege_escalation_sts_role_chaining.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-sts-role-chaining.md)
Azure Kubernetes Services (AKS) Kubernetes Rolebindings Created,"T1078, T1078.004, T1098",Custom Query,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/azure/privilege_escalation_kubernetes_aks_rolebinding_created.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-kubernetes-aks-rolebinding-created.md)
Azure RBAC Built-In Administrator Roles Assigned,"T1098, T1098.003",Custom Query,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/azure/privilege_escalation_azure_rbac_administrator_roles_assigned.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-azure-rbac-administrator-roles-assigned.md)
Bypass UAC via Event Viewer,"T1548, T1548.002",EQL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/privilege_escalation_uac_bypass_event_viewer.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-uac-bypass-event-viewer.md)
Component Object Model Hijacking,"T1112, T1546, T1546.015",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/persistence_suspicious_com_hijack_registry.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/persistence-suspicious-com-hijack-registry.md)
Conhost Spawned By Suspicious Parent Process,"T1036, T1055, T1059",EQL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/execution_via_hidden_shell_conhost.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/execution-via-hidden-shell-conhost.md)
Creation or Modification of a new GPO Scheduled Task or Service,"T1053, T1053.005, T1484, T1484.001",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/privilege_escalation_gpo_schtask_service_creation.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-gpo-schtask-service-creation.md)
Credential Manipulation - Detected - Elastic Endgame,T1134,Custom Query,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/promotions/privilege_escalation_endgame_cred_manipulation_detected.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-endgame-cred-manipulation-detected.md)
Credential Manipulation - Prevented - Elastic Endgame,T1134,Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/promotions/privilege_escalation_endgame_cred_manipulation_prevented.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-endgame-cred-manipulation-prevented.md)
Cron Job Created or Modified,"T1053, T1053.003",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/persistence_cron_job_creation.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/persistence-cron-job-creation.md)
CyberArk Privileged Access Security Error,T1078,Custom Query,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/cyberarkpas/privilege_escalation_cyberarkpas_error_audit_event_promotion.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-cyberarkpas-error-audit-event-promotion.md)
CyberArk Privileged Access Security Recommended Monitor,T1078,Custom Query,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/cyberarkpas/privilege_escalation_cyberarkpas_recommended_events_to_monitor_promotion.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-cyberarkpas-recommended-events-to-monitor-promotion.md)
D-Bus Service Created,T1543,EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/persistence_dbus_service_creation.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/persistence-dbus-service-creation.md)
DebugFS Execution Detected via Defend for Containers,T1611,EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/cloud_defend/privilege_escalation_debugfs_launched_inside_a_privileged_container.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-debugfs-launched-inside-a-privileged-container.md)
Delegated Managed Service Account Modification by an Unusual User,"T1078, T1078.002, T1098",New Terms,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/privilege_escalation_badsuccessor_dmsa_abuse.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-badsuccessor-dmsa-abuse.md)
Deprecated - Sudo Heap-Based Buffer Overflow Attempt,T1068,Threshold,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/cross-platform/privilege_escalation_sudo_buffer_overflow.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-sudo-buffer-overflow.md)
Deprecated - Suspicious PrintSpooler Service Executable File Creation,T1068,New Terms,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/privilege_escalation_printspooler_service_suspicious_file.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-printspooler-service-suspicious-file.md)
Disabling User Account Control via Registry Modification,"T1112, T1548, T1548.002, T1562, T1562.001",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/privilege_escalation_disable_uac_registry.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-disable-uac-registry.md)
dMSA Account Creation by an Unusual User,"T1078, T1078.002, T1098",New Terms,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/privilege_escalation_dmsa_creation_by_unusual_user.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-dmsa-creation-by-unusual-user.md)
Docker Release File Creation,T1611,EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/privilege_escalation_docker_release_file_creation.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-docker-release-file-creation.md)
Egress Connection from Entrypoint in Container,"T1059, T1059.004, T1611",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/execution_egress_connection_from_entrypoint_in_container.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/execution-egress-connection-from-entrypoint-in-container.md)
Entra ID Actor Token User Impersonation Abuse,"T1078, T1078.004, T1548",ES|QL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/azure/initial_access_entra_id_actor_token_user_impersonation_abuse.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/initial-access-entra-id-actor-token-user-impersonation-abuse.md)
Entra ID Elevated Access to User Access Administrator,"T1098, T1098.003",New Terms,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/azure/privilege_escalation_entra_id_elevate_to_user_administrator_access.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-entra-id-elevate-to-user-administrator-access.md)
Entra ID Federated Identity Credential Issuer Modified,"T1098, T1098.001, T1484, T1484.002",ES|QL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/azure/persistence_entra_id_service_principal_federated_issuer_modified.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/persistence-entra-id-service-principal-federated-issuer-modified.md)
Execution with Explicit Credentials via Scripting,"T1059, T1078, T1548, T1548.004",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/macos/privilege_escalation_explicit_creds_via_scripting.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-explicit-creds-via-scripting.md)
Expired or Revoked Driver Loaded,"T1036, T1036.001, T1068",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/privilege_escalation_expired_driver_loaded.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-expired-driver-loaded.md)
Exploit - Detected - Elastic Endgame,T1068,Custom Query,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/promotions/execution_endgame_exploit_detected.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/execution-endgame-exploit-detected.md)
Exploit - Prevented - Elastic Endgame,T1068,Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/promotions/execution_endgame_exploit_prevented.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/execution-endgame-exploit-prevented.md)
File System Debugger Launched Inside a Container,T1611,EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/privilege_escalation_debugfs_launched_inside_container.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-debugfs-launched-inside-container.md)
First Time Seen Driver Loaded,"T1068, T1543, T1543.003",New Terms,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/privilege_escalation_driver_newterm_imphash.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-driver-newterm-imphash.md)
First Time Seen NewCredentials Logon Process,"T1134, T1134.001",New Terms,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/privilege_escalation_newcreds_logon_rare_process.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-newcreds-logon-rare-process.md)
FirstTime Seen Account Performing DCSync,"T1003, T1003.006, T1078, T1078.002",New Terms,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/credential_access_dcsync_newterm_subjectuser.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/credential-access-dcsync-newterm-subjectuser.md)
Group Policy Abuse for Privilege Addition,"T1484, T1484.001",EQL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/privilege_escalation_group_policy_privileged_groups.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-group-policy-privileged-groups.md)
High Command Line Entropy Detected for Privileged Commands,T1078,Machine Learning,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/pad/privileged_access_ml_linux_high_median_process_command_line_entropy_by_user.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privileged-access-ml-linux-high-median-process-command-line-entropy-by-user.md)
Interactive Logon by an Unusual Process,"T1134, T1134.002, T1134.003",EQL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/privilege_escalation_make_token_local.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-make-token-local.md)
Kerberos Pre-authentication Disabled for User,"T1078, T1078.002, T1558, T1558.004, T1562",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/credential_access_disable_kerberos_preauth.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/credential-access-disable-kerberos-preauth.md)
Kernel Load or Unload via Kexec Detected,"T1547, T1547.006, T1601, T1601.001, T1611",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/privilege_escalation_load_and_unload_of_kernel_via_kexec.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-load-and-unload-of-kernel-via-kexec.md)
Kubernetes Cluster-Admin Role Binding Created,"T1098, T1098.006",Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/kubernetes/persistence_cluster_admin_rolebinding_created.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/persistence-cluster-admin-rolebinding-created.md)
Kubernetes Container Created with Excessive Linux Capabilities,"T1610, T1611",Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/kubernetes/privilege_escalation_container_created_with_excessive_linux_capabilities.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-container-created-with-excessive-linux-capabilities.md)
Kubernetes Creation of a RoleBinding Referencing a ServiceAccount,"T1098, T1098.006",Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/kubernetes/persistence_service_account_bound_to_clusterrole.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/persistence-service-account-bound-to-clusterrole.md)
Kubernetes Creation or Modification of Sensitive Role,"T1098, T1098.006",ES|QL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/kubernetes/persistence_sensitive_role_creation_or_modification.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/persistence-sensitive-role-creation-or-modification.md)
Kubernetes Pod Created with a Sensitive hostPath Volume,"T1610, T1611",Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/kubernetes/privilege_escalation_pod_created_with_sensitive_hostpath_volume.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-pod-created-with-sensitive-hostpath-volume.md)
Kubernetes Pod Created With HostIPC,"T1610, T1611",Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/kubernetes/privilege_escalation_pod_created_with_hostipc.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-pod-created-with-hostipc.md)
Kubernetes Pod Created With HostNetwork,"T1610, T1611",Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/kubernetes/privilege_escalation_pod_created_with_hostnetwork.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-pod-created-with-hostnetwork.md)
Kubernetes Pod Created With HostPID,"T1610, T1611",Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/kubernetes/privilege_escalation_pod_created_with_hostpid.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-pod-created-with-hostpid.md)
Kubernetes Privileged Pod Created,"T1610, T1611",Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/kubernetes/privilege_escalation_privileged_pod_created.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-privileged-pod-created.md)
Kubernetes Sensitive RBAC Change Followed by Workload Modification,"T1098, T1098.006",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/kubernetes/privilege_escalation_sensitive_rbac_change_followed_by_workload_modification.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-sensitive-rbac-change-followed-by-workload-modification.md)
Kubernetes Service Account Modified RBAC Objects,"T1098, T1098.006",Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/kubernetes/privilege_escalation_service_account_rbac_write_operation.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-service-account-rbac-write-operation.md)
Kubernetes Suspicious Assignment of Controller Service Account,"T1078, T1078.001",Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/kubernetes/privilege_escalation_suspicious_assignment_of_controller_service_account.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-suspicious-assignment-of-controller-service-account.md)
M365 Exchange Federated Domain Created or Modified,"T1484, T1484.002",Custom Query,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/o365/privilege_escalation_exchange_new_or_modified_federation_domain.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-exchange-new-or-modified-federation-domain.md)
Modification of Dynamic Linker Preload Shared Object,"T1574, T1574.006",New Terms,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/privilege_escalation_ld_preload_shared_object_modif.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-ld-preload-shared-object-modif.md)
Modification of Persistence Relevant Files Detected via Defend for Containers,"T1037, T1053, T1053.003, T1543, T1546, T1546.004, T1548, T1548.003",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/cloud_defend/persistence_modification_of_persistence_relevant_files.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/persistence-modification-of-persistence-relevant-files.md)
Modification of the msPKIAccountCredentials,T1068,Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/privilege_escalation_credroaming_ldap.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-credroaming-ldap.md)
Mount Execution Detected via Defend for Containers,T1611,EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/cloud_defend/privilege_escalation_mount_launched_inside_a_privileged_container.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-mount-launched-inside-a-privileged-container.md)
Mount Launched Inside a Container,T1611,EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/privilege_escalation_mount_launched_inside_container.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-mount-launched-inside-container.md)
Namespace Manipulation Using Unshare,T1543,EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/privilege_escalation_unshare_namespace_manipulation.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-unshare-namespace-manipulation.md)
Permission Theft - Detected - Elastic Endgame,T1134,Custom Query,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/promotions/privilege_escalation_endgame_permission_theft_detected.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-endgame-permission-theft-detected.md)
Permission Theft - Prevented - Elastic Endgame,T1134,Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/promotions/privilege_escalation_endgame_permission_theft_prevented.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-endgame-permission-theft-prevented.md)
Persistence via PowerShell profile,"T1546, T1546.013",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/persistence_powershell_profiles.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/persistence-powershell-profiles.md)
Persistence via TelemetryController Scheduled Task Hijack,"T1053, T1053.005, T1574",EQL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/persistence_via_telemetrycontroller_scheduledtask_hijack.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/persistence-via-telemetrycontroller-scheduledtask-hijack.md)
Persistence via Update Orchestrator Service Hijack,"T1068, T1543, T1543.003, T1574",EQL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/persistence_via_update_orchestrator_service_hijack.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/persistence-via-update-orchestrator-service-hijack.md)
Pod or Container Creation with Suspicious Command-Line,"T1053, T1053.002, T1053.003, T1059, T1059.004, T1609, T1611",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/execution_suspicious_pod_or_container_creation_command_execution.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/execution-suspicious-pod-or-container-creation-command-execution.md)
Potential Admin Group Account Addition,"T1078, T1078.003",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/macos/privilege_escalation_local_user_added_to_admin.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-local-user-added-to-admin.md)
Potential Application Shimming via Sdbinst,"T1546, T1546.011",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/persistence_via_application_shimming.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/persistence-via-application-shimming.md)
Potential Buffer Overflow Attack Detected,"T1068, T1190",Threshold,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/privilege_escalation_potential_bufferoverflow_attack.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-potential-bufferoverflow-attack.md)
